SoundfileID	tmin	tier	text	tmax
AMGOPP2_L2_Task1.wav	0	Phrases	1	5.157358
AMGOPP2_L2_Task1.wav	5.157358	Phrases	0	5.477358
AMGOPP2_L2_Task1.wav	5.161358	DFauto (English)	0	5.241358
AMGOPP2_L2_Task1.wav	5.198270	Nuclei	1	5.198270
AMGOPP2_L2_Task1.wav	5.241358	DFauto (English)	0	5.273358
AMGOPP2_L2_Task1.wav	5.273358	DFauto (English)	0	5.361358
AMGOPP2_L2_Task1.wav	5.314971	Nuclei	2	5.314971
AMGOPP2_L2_Task1.wav	5.477358	Phrases	1	5.797358
AMGOPP2_L2_Task1.wav	5.797358	Phrases	0	6.325358
AMGOPP2_L2_Task1.wav	5.830000	FreqDist	0.03225806451612903	6.140000
AMGOPP2_L2_Task1.wav	5.830000	Repetitions	0	6.140000
AMGOPP2_L2_Task1.wav	5.830000	POStags	uhm_NN	6.140000
AMGOPP2_L2_Task1.wav	5.857358	DFauto (English)	0	6.161358
AMGOPP2_L2_Task1.wav	6.110897	Nuclei	3	6.110897
AMGOPP2_L2_Task1.wav	6.161358	DFauto (English)	0	6.209358
AMGOPP2_L2_Task1.wav	6.209358	DFauto (English)	0	6.257358
AMGOPP2_L2_Task1.wav	6.233176	Nuclei	4	6.233176
AMGOPP2_L2_Task1.wav	6.325358	Phrases	1	6.693358
AMGOPP2_L2_Task1.wav	6.693358	Phrases	0	7.781358
AMGOPP2_L2_Task1.wav	6.720000	CDcount	263	7.220000
AMGOPP2_L2_Task1.wav	6.720000	Lg10WF	2.5682	7.220000
AMGOPP2_L2_Task1.wav	6.720000	FREQlow	275	7.220000
AMGOPP2_L2_Task1.wav	6.720000	Lg10CD	2.4216	7.220000
AMGOPP2_L2_Task1.wav	6.720000	Repetitions	0	7.220000
AMGOPP2_L2_Task1.wav	6.720000	Cdlow	216	7.220000
AMGOPP2_L2_Task1.wav	6.720000	POStags	honorable_JJ	7.220000
AMGOPP2_L2_Task1.wav	6.720000	FreqDist	0.0064516129032258064	7.220000
AMGOPP2_L2_Task1.wav	6.720000	SUBTLCD	3.14	7.220000
AMGOPP2_L2_Task1.wav	6.720000	FREQcount	369	7.220000
AMGOPP2_L2_Task1.wav	6.720000	SUBTLWF	7.24	7.220000
AMGOPP2_L2_Task1.wav	6.825358	DFauto (English)	0	7.217358
AMGOPP2_L2_Task1.wav	6.967953	Nuclei	5	6.967953
AMGOPP2_L2_Task1.wav	7.217358	DFauto (English)	0	7.369358
AMGOPP2_L2_Task1.wav	7.220000	Lg10WF	3.609	7.770000
AMGOPP2_L2_Task1.wav	7.220000	Lg10CD	3.2101	7.770000
AMGOPP2_L2_Task1.wav	7.220000	Cdlow	1450	7.770000
AMGOPP2_L2_Task1.wav	7.220000	FREQlow	2790	7.770000
AMGOPP2_L2_Task1.wav	7.220000	CDcount	1621	7.770000
AMGOPP2_L2_Task1.wav	7.220000	SUBTLCD	19.33	7.770000
AMGOPP2_L2_Task1.wav	7.220000	POStags	judge_NN	7.770000
AMGOPP2_L2_Task1.wav	7.220000	FREQcount	4063	7.770000
AMGOPP2_L2_Task1.wav	7.220000	Repetitions	0	7.770000
AMGOPP2_L2_Task1.wav	7.220000	SUBTLWF	79.67	7.770000
AMGOPP2_L2_Task1.wav	7.220000	FreqDist	0.0064516129032258064	7.770000
AMGOPP2_L2_Task1.wav	7.369358	DFauto (English)	0	7.529358
AMGOPP2_L2_Task1.wav	7.419035	Nuclei	6	7.419035
AMGOPP2_L2_Task1.wav	7.781358	Phrases	1	8.533358
