SoundfileID	tmin	tier	text	tmax
ELISPP2_L1_Task2.wav	0	Phrases	1	0.566667
ELISPP2_L1_Task2.wav	0.560000	Repetitions	0	0.940000
ELISPP2_L1_Task2.wav	0.560000	Lg10WF	1.9191	0.940000
ELISPP2_L1_Task2.wav	0.560000	CDlow	19	0.940000
ELISPP2_L1_Task2.wav	0.560000	FREQcount	82	0.940000
ELISPP2_L1_Task2.wav	0.560000	FreqDist	0.007462686567164179	0.940000
ELISPP2_L1_Task2.wav	0.560000	SUBTLEXWF	1.8752	0.940000
ELISPP2_L1_Task2.wav	0.560000	SUBTLEXCD	0.7311	0.940000
ELISPP2_L1_Task2.wav	0.560000	CDcount	59	0.940000
ELISPP2_L1_Task2.wav	0.560000	FREQlemma	82	0.940000
ELISPP2_L1_Task2.wav	0.560000	Lg10CD	1.7782	0.940000
ELISPP2_L1_Task2.wav	0.560000	FREQlow	24	0.940000
ELISPP2_L1_Task2.wav	0.560000	POStags	yes_RB	0.940000
ELISPP2_L1_Task2.wav	0.566667	Phrases	0	0.726667
ELISPP2_L1_Task2.wav	0.578667	DFauto (English)	0	0.706667
ELISPP2_L1_Task2.wav	0.625357	Nuclei	1	0.625357
ELISPP2_L1_Task2.wav	0.726667	Phrases	1	2.086667
ELISPP2_L1_Task2.wav	1.690000	CDlow	104	1.800000
ELISPP2_L1_Task2.wav	1.690000	FREQcount	3233	1.800000
ELISPP2_L1_Task2.wav	1.690000	FreqDist	0.007462686567164179	1.800000
ELISPP2_L1_Task2.wav	1.690000	Repetitions	0	1.800000
ELISPP2_L1_Task2.wav	1.690000	SUBTLEXCD	5.3903	1.800000
ELISPP2_L1_Task2.wav	1.690000	CDcount	435	1.800000
ELISPP2_L1_Task2.wav	1.690000	FREQlow	658	1.800000
ELISPP2_L1_Task2.wav	1.690000	Lg10CD	2.6395	1.800000
ELISPP2_L1_Task2.wav	1.690000	FREQlemma	3233	1.800000
ELISPP2_L1_Task2.wav	1.690000	POStags	ok_JJ	1.800000
ELISPP2_L1_Task2.wav	1.690000	SUBTLEXWF	73.9319	1.800000
ELISPP2_L1_Task2.wav	1.690000	Lg10WF	3.5097	1.800000
ELISPP2_L1_Task2.wav	2.086667	Phrases	0	3.206667
ELISPP2_L1_Task2.wav	2.090000	CDcount	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	POStags	uhmm_JJ	3.220000
ELISPP2_L1_Task2.wav	2.090000	FREQlow	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	SUBTLEXCD	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	FREQcount	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	Lg10WF	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	CDlow	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	FreqDist	0.007462686567164179	3.220000
ELISPP2_L1_Task2.wav	2.090000	SUBTLEXWF	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	Repetitions	0	3.220000
ELISPP2_L1_Task2.wav	2.090000	Lg10CD	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.090000	FREQlemma	MISSING	3.220000
ELISPP2_L1_Task2.wav	2.098667	DFauto (English)	0	2.162667
ELISPP2_L1_Task2.wav	2.128403	Nuclei	2	2.128403
ELISPP2_L1_Task2.wav	2.162667	DFauto (English)	0	2.202667
ELISPP2_L1_Task2.wav	2.202667	DFauto (English)	0	2.410667
ELISPP2_L1_Task2.wav	2.264924	Nuclei	3	2.264924
ELISPP2_L1_Task2.wav	2.410667	DFauto (English)	0	2.578667
ELISPP2_L1_Task2.wav	2.578667	DFauto (English)	1	2.914667
ELISPP2_L1_Task2.wav	2.623230	Nuclei	4	2.623230
ELISPP2_L1_Task2.wav	3.206667	Phrases	1	4.294667
ELISPP2_L1_Task2.wav	4.280000	FREQlow	778704	4.420000
ELISPP2_L1_Task2.wav	4.280000	CDlow	3125	4.420000
ELISPP2_L1_Task2.wav	4.280000	Lg10CD	3.9061	4.420000
ELISPP2_L1_Task2.wav	4.280000	FREQcount	1744062	4.420000
ELISPP2_L1_Task2.wav	4.280000	POStags	ik_NN	4.420000
ELISPP2_L1_Task2.wav	4.280000	CDcount	8054	4.420000
ELISPP2_L1_Task2.wav	4.280000	SUBTLEXWF	39883.0334	4.420000
ELISPP2_L1_Task2.wav	4.280000	FREQlemma	1744527	4.420000
ELISPP2_L1_Task2.wav	4.280000	Lg10WF	6.2416	4.420000
ELISPP2_L1_Task2.wav	4.280000	FreqDist	0.03731343283582089	4.420000
ELISPP2_L1_Task2.wav	4.280000	SUBTLEXCD	99.8017	4.420000
ELISPP2_L1_Task2.wav	4.280000	Repetitions	0	4.420000
ELISPP2_L1_Task2.wav	4.294667	Phrases	0	5.510667
ELISPP2_L1_Task2.wav	4.314667	DFauto (English)	0	4.378667
ELISPP2_L1_Task2.wav	4.348285	Nuclei	5	4.348285
ELISPP2_L1_Task2.wav	4.378667	DFauto (English)	0	4.490667
ELISPP2_L1_Task2.wav	4.420000	FREQlemma	84005	4.550000
ELISPP2_L1_Task2.wav	4.420000	Lg10CD	3.8501	4.550000
ELISPP2_L1_Task2.wav	4.420000	POStags	vind_IN	4.550000
ELISPP2_L1_Task2.wav	4.420000	SUBTLEXWF	690.9078	4.550000
ELISPP2_L1_Task2.wav	4.420000	Lg10WF	4.4802	4.550000
ELISPP2_L1_Task2.wav	4.420000	Repetitions	0	4.550000
ELISPP2_L1_Task2.wav	4.420000	SUBTLEXCD	87.7323	4.550000
ELISPP2_L1_Task2.wav	4.420000	FREQcount	30213	4.550000
ELISPP2_L1_Task2.wav	4.420000	CDcount	7080	4.550000
ELISPP2_L1_Task2.wav	4.420000	FreqDist	0.014925373134328358	4.550000
ELISPP2_L1_Task2.wav	4.420000	CDlow	5610	4.550000
ELISPP2_L1_Task2.wav	4.420000	FREQlow	23950	4.550000
ELISPP2_L1_Task2.wav	4.490667	DFauto (English)	0	4.602667
