SoundfileID	tmin	tier	text	tmax
EVGEPP1_L2_Task1.wav	0	Phrases	1	1.046041
EVGEPP1_L2_Task1.wav	1.046041	Phrases	0	2.326041
EVGEPP1_L2_Task1.wav	1.050000	FREQlow	3228	1.480000
EVGEPP1_L2_Task1.wav	1.050000	CDcount	6405	1.480000
EVGEPP1_L2_Task1.wav	1.050000	FREQcount	29857	1.480000
EVGEPP1_L2_Task1.wav	1.050000	Cdlow	2089	1.480000
EVGEPP1_L2_Task1.wav	1.050000	FreqDist	0.010752688172043012	1.480000
EVGEPP1_L2_Task1.wav	1.050000	Repetitions	0	1.480000
EVGEPP1_L2_Task1.wav	1.050000	SUBTLWF	585.43	1.480000
EVGEPP1_L2_Task1.wav	1.050000	POStags	hello_NN	1.480000
EVGEPP1_L2_Task1.wav	1.050000	Lg10CD	3.8066	1.480000
EVGEPP1_L2_Task1.wav	1.050000	SUBTLCD	76.36	1.480000
EVGEPP1_L2_Task1.wav	1.050000	Lg10WF	4.4751	1.480000
EVGEPP1_L2_Task1.wav	1.090041	DFauto (English)	0	1.154041
EVGEPP1_L2_Task1.wav	1.120694	Nuclei	1	1.120694
EVGEPP1_L2_Task1.wav	1.154041	DFauto (English)	0	1.202041
EVGEPP1_L2_Task1.wav	1.202041	DFauto (English)	1	1.450041
EVGEPP1_L2_Task1.wav	1.284490	Nuclei	2	1.284490
EVGEPP1_L2_Task1.wav	1.450041	DFauto (English)	0	1.482041
EVGEPP1_L2_Task1.wav	1.480000	FREQlow	275	2.080000
EVGEPP1_L2_Task1.wav	1.480000	Lg10CD	2.4216	2.080000
EVGEPP1_L2_Task1.wav	1.480000	SUBTLWF	7.24	2.080000
EVGEPP1_L2_Task1.wav	1.480000	POStags	honorable_JJ	2.080000
EVGEPP1_L2_Task1.wav	1.480000	SUBTLCD	3.14	2.080000
EVGEPP1_L2_Task1.wav	1.480000	Repetitions	0	2.080000
EVGEPP1_L2_Task1.wav	1.480000	Lg10WF	2.5682	2.080000
EVGEPP1_L2_Task1.wav	1.480000	Cdlow	216	2.080000
EVGEPP1_L2_Task1.wav	1.480000	FreqDist	0.021505376344086023	2.080000
EVGEPP1_L2_Task1.wav	1.480000	FREQcount	369	2.080000
EVGEPP1_L2_Task1.wav	1.480000	CDcount	263	2.080000
EVGEPP1_L2_Task1.wav	1.482041	DFauto (English)	0	1.570041
EVGEPP1_L2_Task1.wav	1.533870	Nuclei	3	1.533870
EVGEPP1_L2_Task1.wav	1.570041	DFauto (English)	0	1.762041
EVGEPP1_L2_Task1.wav	1.762041	DFauto (English)	1	1.842041
EVGEPP1_L2_Task1.wav	1.806544	Nuclei	4	1.806544
EVGEPP1_L2_Task1.wav	1.842041	DFauto (English)	0	1.914041
EVGEPP1_L2_Task1.wav	1.914041	DFauto (English)	0	1.986041
EVGEPP1_L2_Task1.wav	1.950028	Nuclei	5	1.950028
EVGEPP1_L2_Task1.wav	1.986041	DFauto (English)	0	2.154041
EVGEPP1_L2_Task1.wav	2.080000	CDcount	1621	2.500000
EVGEPP1_L2_Task1.wav	2.080000	FREQlow	2790	2.500000
EVGEPP1_L2_Task1.wav	2.080000	Lg10CD	3.2101	2.500000
EVGEPP1_L2_Task1.wav	2.080000	SUBTLWF	79.67	2.500000
EVGEPP1_L2_Task1.wav	2.080000	POStags	judge_NN	2.500000
EVGEPP1_L2_Task1.wav	2.080000	SUBTLCD	19.33	2.500000
EVGEPP1_L2_Task1.wav	2.080000	Cdlow	1450	2.500000
EVGEPP1_L2_Task1.wav	2.080000	Repetitions	0	2.500000
EVGEPP1_L2_Task1.wav	2.080000	FreqDist	0.021505376344086023	2.500000
EVGEPP1_L2_Task1.wav	2.080000	FREQcount	4063	2.500000
EVGEPP1_L2_Task1.wav	2.080000	Lg10WF	3.609	2.500000
EVGEPP1_L2_Task1.wav	2.154041	DFauto (English)	0	2.266041
EVGEPP1_L2_Task1.wav	2.208025	Nuclei	6	2.208025
EVGEPP1_L2_Task1.wav	2.326041	Phrases	1	3.494041
