SoundfileID	tmin	tier	text	tmax
HRHHPP1_L1_Task2.wav	0	Phrases	1	1.652667
HRHHPP1_L1_Task2.wav	0.120000	POStags	uhh_JJ	0.230000
HRHHPP1_L1_Task2.wav	0.120000	Lg10CD	1.2788	0.230000
HRHHPP1_L1_Task2.wav	0.120000	SUBTLEXCD	0.2230	0.230000
HRHHPP1_L1_Task2.wav	0.120000	Lg10WF	1.3979	0.230000
HRHHPP1_L1_Task2.wav	0.120000	SUBTLEXWF	0.5488	0.230000
HRHHPP1_L1_Task2.wav	0.120000	FREQlemma	24	0.230000
HRHHPP1_L1_Task2.wav	0.120000	CDlow	4	0.230000
HRHHPP1_L1_Task2.wav	0.120000	FREQlow	4	0.230000
HRHHPP1_L1_Task2.wav	0.120000	CDcount	18	0.230000
HRHHPP1_L1_Task2.wav	0.120000	FREQcount	24	0.230000
HRHHPP1_L1_Task2.wav	0.120000	FreqDist	0.04477611940298507	0.230000
HRHHPP1_L1_Task2.wav	0.120000	Repetitions	0	0.230000
HRHHPP1_L1_Task2.wav	1.640000	FREQlemma	5716	2.550000
HRHHPP1_L1_Task2.wav	1.640000	Lg10CD	3.3535	2.550000
HRHHPP1_L1_Task2.wav	1.640000	SUBTLEXCD	27.9554	2.550000
HRHHPP1_L1_Task2.wav	1.640000	POStags	raad_NN	2.550000
HRHHPP1_L1_Task2.wav	1.640000	Lg10WF	3.5600	2.550000
HRHHPP1_L1_Task2.wav	1.640000	Repetitions	0	2.550000
HRHHPP1_L1_Task2.wav	1.640000	SUBTLEXWF	83.0105	2.550000
HRHHPP1_L1_Task2.wav	1.640000	FreqDist	0.014925373134328358	2.550000
HRHHPP1_L1_Task2.wav	1.640000	CDlow	1535	2.550000
HRHHPP1_L1_Task2.wav	1.640000	FREQlow	2346	2.550000
HRHHPP1_L1_Task2.wav	1.640000	CDcount	2256	2.550000
HRHHPP1_L1_Task2.wav	1.640000	FREQcount	3630	2.550000
HRHHPP1_L1_Task2.wav	1.652667	Phrases	0	9.780667
HRHHPP1_L1_Task2.wav	1.688667	DFauto (English)	1	2.168667
