SoundfileID	tmin	tier	text	tmax
LOESPP1_L2_task1.wav	0	DFauto (English)	0	0.147375
LOESPP1_L2_task1.wav	0	Phrases	0	0.567375
LOESPP1_L2_task1.wav	0.140000	POStags	uh_JJ	0.195000
LOESPP1_L2_task1.wav	0.140000	FreqDist	0.05172413793103448	0.195000
LOESPP1_L2_task1.wav	0.140000	Repetitions	0	0.195000
LOESPP1_L2_task1.wav	0.147375	DFauto (English)	1	0.427375
LOESPP1_L2_task1.wav	0.195000	FreqDist	0.017241379310344827	0.290000
LOESPP1_L2_task1.wav	0.195000	POStags	zo_NN	0.290000
LOESPP1_L2_task1.wav	0.195000	SUBTLEXWF	3841.3497	0.290000
LOESPP1_L2_task1.wav	0.195000	FREQlemma	168005	0.290000
LOESPP1_L2_task1.wav	0.195000	Repetitions	0	0.290000
LOESPP1_L2_task1.wav	0.195000	Lg10WF	5.2253	0.290000
LOESPP1_L2_task1.wav	0.195000	Lg10CD	3.9058	0.290000
LOESPP1_L2_task1.wav	0.195000	CDlow	6680	0.290000
LOESPP1_L2_task1.wav	0.195000	SUBTLEXCD	99.7398	0.290000
LOESPP1_L2_task1.wav	0.195000	FREQcount	167980	0.290000
LOESPP1_L2_task1.wav	0.195000	FREQlow	140591	0.290000
LOESPP1_L2_task1.wav	0.195000	CDcount	8049	0.290000
LOESPP1_L2_task1.wav	0.290000	Repetitions	0	0.420000
LOESPP1_L2_task1.wav	0.290000	POStags	uhm_JJ	0.420000
LOESPP1_L2_task1.wav	0.290000	FreqDist	0.05172413793103448	0.420000
LOESPP1_L2_task1.wav	0.305842	Nuclei	1	0.305842
LOESPP1_L2_task1.wav	0.567375	Phrases	1	0.919375
LOESPP1_L2_task1.wav	0.919375	Phrases	0	1.351375
LOESPP1_L2_task1.wav	1.030000	CDcount	2455	2.015000
LOESPP1_L2_task1.wav	1.030000	POStags	agent_NN	2.015000
LOESPP1_L2_task1.wav	1.030000	CDlow	1976	2.015000
LOESPP1_L2_task1.wav	1.030000	Lg10CD	3.3902	2.015000
LOESPP1_L2_task1.wav	1.030000	SUBTLEXCD	30.4213	2.015000
LOESPP1_L2_task1.wav	1.030000	Lg10WF	3.9117	2.015000
LOESPP1_L2_task1.wav	1.030000	FREQcount	8159	2.015000
LOESPP1_L2_task1.wav	1.030000	FREQlemma	10899	2.015000
LOESPP1_L2_task1.wav	1.030000	FREQlow	6553	2.015000
LOESPP1_L2_task1.wav	1.030000	Repetitions	0	2.015000
LOESPP1_L2_task1.wav	1.030000	SUBTLEXWF	186.5792	2.015000
LOESPP1_L2_task1.wav	1.030000	FreqDist	0.008620689655172414	2.015000
LOESPP1_L2_task1.wav	1.035375	DFauto (English)	0	1.139375
LOESPP1_L2_task1.wav	1.070712	Nuclei	2	1.070712
LOESPP1_L2_task1.wav	1.351375	Phrases	1	1.687375
LOESPP1_L2_task1.wav	1.687375	Phrases	0	2.183375
LOESPP1_L2_task1.wav	1.691375	DFauto (English)	1	1.835375
LOESPP1_L2_task1.wav	1.717340	Nuclei	3	1.717340
LOESPP1_L2_task1.wav	1.835375	DFauto (English)	0	1.845271
LOESPP1_L2_task1.wav	1.845271	DFauto (English)	0	2.003375
LOESPP1_L2_task1.wav	1.947412	Nuclei	4	1.947412
LOESPP1_L2_task1.wav	2.015000	FREQlow	220264	3.040000
LOESPP1_L2_task1.wav	2.015000	CDlow	3577	3.040000
LOESPP1_L2_task1.wav	2.015000	CDcount	8061	3.040000
