SoundfileID	tmin	tier	text	tmax
MYROPP1_L1_Task1.wav	0	DFauto (English)	0	0.338667
MYROPP1_L1_Task1.wav	0	Phrases	0	1.410667
MYROPP1_L1_Task1.wav	0.220000	FREQcount	24265	0.600000
MYROPP1_L1_Task1.wav	0.220000	Lg10CD	3.7628	0.600000
MYROPP1_L1_Task1.wav	0.220000	SUBTLEXCD	71.7596	0.600000
MYROPP1_L1_Task1.wav	0.220000	Lg10WF	4.3850	0.600000
MYROPP1_L1_Task1.wav	0.220000	SUBTLEXWF	554.8896	0.600000
MYROPP1_L1_Task1.wav	0.220000	FREQlemma	24266	0.600000
MYROPP1_L1_Task1.wav	0.220000	CDlow	273	0.600000
MYROPP1_L1_Task1.wav	0.220000	POStags	hallo_NNS	0.600000
MYROPP1_L1_Task1.wav	0.220000	CDcount	5791	0.600000
MYROPP1_L1_Task1.wav	0.220000	Repetitions	0	0.600000
MYROPP1_L1_Task1.wav	0.220000	FREQlow	1246	0.600000
MYROPP1_L1_Task1.wav	0.220000	FreqDist	0.007352941176470588	0.600000
MYROPP1_L1_Task1.wav	0.338667	DFauto (English)	0	0.554667
MYROPP1_L1_Task1.wav	0.448428	Nuclei	1	0.448428
MYROPP1_L1_Task1.wav	0.554667	DFauto (English)	0	0.738667
MYROPP1_L1_Task1.wav	0.710000	POStags	meneer_NN	0.980000
MYROPP1_L1_Task1.wav	0.710000	SUBTLEXCD	50.7187	0.980000
MYROPP1_L1_Task1.wav	0.710000	FreqDist	0.007352941176470588	0.980000
MYROPP1_L1_Task1.wav	0.710000	FREQcount	22671	0.980000
MYROPP1_L1_Task1.wav	0.710000	Lg10CD	3.6121	0.980000
MYROPP1_L1_Task1.wav	0.710000	Lg10WF	4.3555	0.980000
MYROPP1_L1_Task1.wav	0.710000	CDcount	4093	0.980000
MYROPP1_L1_Task1.wav	0.710000	Repetitions	0	0.980000
MYROPP1_L1_Task1.wav	0.710000	SUBTLEXWF	518.4381	0.980000
MYROPP1_L1_Task1.wav	0.710000	FREQlemma	22803	0.980000
MYROPP1_L1_Task1.wav	0.710000	FREQlow	16752	0.980000
MYROPP1_L1_Task1.wav	0.710000	CDlow	2998	0.980000
MYROPP1_L1_Task1.wav	0.738667	DFauto (English)	0	0.992372
MYROPP1_L1_Task1.wav	0.937612	Nuclei	2	0.937612
MYROPP1_L1_Task1.wav	0.980000	SUBTLEXWF	24266.8883	1.060000
MYROPP1_L1_Task1.wav	0.980000	CDlow	6512	1.060000
MYROPP1_L1_Task1.wav	0.980000	Lg10WF	6.0258	1.060000
MYROPP1_L1_Task1.wav	0.980000	SUBTLEXCD	100.0000	1.060000
MYROPP1_L1_Task1.wav	0.980000	CDcount	8070	1.060000
MYROPP1_L1_Task1.wav	0.980000	POStags	de_IN	1.060000
MYROPP1_L1_Task1.wav	0.980000	FREQlow	903872	1.060000
MYROPP1_L1_Task1.wav	0.980000	Lg10CD	3.9069	1.060000
MYROPP1_L1_Task1.wav	0.980000	Repetitions	0	1.060000
MYROPP1_L1_Task1.wav	0.980000	FreqDist	0.022058823529411766	1.060000
MYROPP1_L1_Task1.wav	0.980000	FREQlemma	1063827	1.060000
MYROPP1_L1_Task1.wav	0.980000	FREQcount	1061177	1.060000
MYROPP1_L1_Task1.wav	0.992372	DFauto (English)	0	0.994667
MYROPP1_L1_Task1.wav	0.994667	DFauto (English)	0	1.122667
MYROPP1_L1_Task1.wav	1.057403	Nuclei	3	1.057403
MYROPP1_L1_Task1.wav	1.060000	FreqDist	0.007352941176470588	1.440000
MYROPP1_L1_Task1.wav	1.060000	FREQlow	6553	1.440000
MYROPP1_L1_Task1.wav	1.060000	Lg10WF	3.9117	1.440000
MYROPP1_L1_Task1.wav	1.060000	FREQlemma	10899	1.440000
MYROPP1_L1_Task1.wav	1.060000	CDcount	2455	1.440000
MYROPP1_L1_Task1.wav	1.060000	Repetitions	0	1.440000
MYROPP1_L1_Task1.wav	1.060000	POStags	agent_NN	1.440000
MYROPP1_L1_Task1.wav	1.060000	SUBTLEXWF	186.5792	1.440000
MYROPP1_L1_Task1.wav	1.060000	CDlow	1976	1.440000
MYROPP1_L1_Task1.wav	1.060000	SUBTLEXCD	30.4213	1.440000
MYROPP1_L1_Task1.wav	1.060000	FREQcount	8159	1.440000
MYROPP1_L1_Task1.wav	1.060000	Lg10CD	3.3902	1.440000
MYROPP1_L1_Task1.wav	1.122667	DFauto (English)	0	1.250667
MYROPP1_L1_Task1.wav	1.250667	DFauto (English)	0	1.346667
MYROPP1_L1_Task1.wav	1.307489	Nuclei	4	1.307489
MYROPP1_L1_Task1.wav	1.410667	Phrases	1	3.154667
MYROPP1_L1_Task1.wav	3.120000	POStags	uhm_JJ	3.640000
MYROPP1_L1_Task1.wav	3.120000	Repetitions	0	3.640000
MYROPP1_L1_Task1.wav	3.120000	FreqDist	0.022058823529411766	3.640000
MYROPP1_L1_Task1.wav	3.154667	Phrases	0	3.618667
MYROPP1_L1_Task1.wav	3.178667	DFauto (English)	1	3.474667
MYROPP1_L1_Task1.wav	3.318338	Nuclei	5	3.318338
MYROPP1_L1_Task1.wav	3.618667	Phrases	1	4.226667
MYROPP1_L1_Task1.wav	4.180000	FREQcount	1744062	4.260000
MYROPP1_L1_Task1.wav	4.180000	FREQlow	778704	4.260000
MYROPP1_L1_Task1.wav	4.180000	Lg10WF	6.2416	4.260000
MYROPP1_L1_Task1.wav	4.180000	POStags	ik_NN	4.260000
