SoundfileID	tmin	tier	text	tmax
SHRIPP1_L1_Task2.wav	0	SUBTLEXCD	85.8116	0.150000
SHRIPP1_L1_Task2.wav	0	FREQcount	64504	0.150000
SHRIPP1_L1_Task2.wav	0	FreqDist	0.017241379310344827	0.150000
SHRIPP1_L1_Task2.wav	0	Repetitions	0	0.150000
SHRIPP1_L1_Task2.wav	0	SUBTLEXWF	1475.0709	0.150000
SHRIPP1_L1_Task2.wav	0	CDcount	6925	0.150000
SHRIPP1_L1_Task2.wav	0	Lg10WF	4.8096	0.150000
SHRIPP1_L1_Task2.wav	0	POStags	nou_JJ	0.150000
SHRIPP1_L1_Task2.wav	0	FREQlow	43241	0.150000
SHRIPP1_L1_Task2.wav	0	CDlow	4505	0.150000
SHRIPP1_L1_Task2.wav	0	Lg10CD	3.8405	0.150000
SHRIPP1_L1_Task2.wav	0	FREQlemma	64504	0.150000
SHRIPP1_L1_Task2.wav	0	DFauto (English)	0	0.281415
SHRIPP1_L1_Task2.wav	0	Phrases	0	1.909415
SHRIPP1_L1_Task2.wav	0.150000	SUBTLEXWF	39883.0334	0.790000
SHRIPP1_L1_Task2.wav	0.150000	SUBTLEXCD	99.8017	0.790000
SHRIPP1_L1_Task2.wav	0.150000	FREQlow	778704	0.790000
SHRIPP1_L1_Task2.wav	0.150000	FREQlemma	1744527	0.790000
SHRIPP1_L1_Task2.wav	0.150000	POStags	ik_NN	0.790000
SHRIPP1_L1_Task2.wav	0.150000	FREQcount	1744062	0.790000
SHRIPP1_L1_Task2.wav	0.150000	Lg10WF	6.2416	0.790000
SHRIPP1_L1_Task2.wav	0.150000	CDcount	8054	0.790000
SHRIPP1_L1_Task2.wav	0.150000	Repetitions	0	0.790000
SHRIPP1_L1_Task2.wav	0.150000	CDlow	3125	0.790000
SHRIPP1_L1_Task2.wav	0.150000	FreqDist	0.017241379310344827	0.790000
SHRIPP1_L1_Task2.wav	0.150000	Lg10CD	3.9061	0.790000
SHRIPP1_L1_Task2.wav	0.281415	DFauto (English)	1	0.425415
SHRIPP1_L1_Task2.wav	0.372277	Nuclei	1	0.372277
SHRIPP1_L1_Task2.wav	0.425415	DFauto (English)	0	0.793415
SHRIPP1_L1_Task2.wav	0.790000	CDcount	7080	2.060000
SHRIPP1_L1_Task2.wav	0.790000	Lg10CD	3.8501	2.060000
SHRIPP1_L1_Task2.wav	0.790000	FREQlemma	84005	2.060000
SHRIPP1_L1_Task2.wav	0.790000	FREQcount	30213	2.060000
SHRIPP1_L1_Task2.wav	0.790000	FreqDist	0.017241379310344827	2.060000
SHRIPP1_L1_Task2.wav	0.790000	CDlow	5610	2.060000
SHRIPP1_L1_Task2.wav	0.790000	SUBTLEXWF	690.9078	2.060000
SHRIPP1_L1_Task2.wav	0.790000	FREQlow	23950	2.060000
SHRIPP1_L1_Task2.wav	0.790000	Repetitions	0	2.060000
SHRIPP1_L1_Task2.wav	0.790000	Lg10WF	4.4802	2.060000
SHRIPP1_L1_Task2.wav	0.790000	POStags	vind_IN	2.060000
SHRIPP1_L1_Task2.wav	0.790000	SUBTLEXCD	87.7323	2.060000
SHRIPP1_L1_Task2.wav	0.793415	DFauto (English)	0	0.905415
SHRIPP1_L1_Task2.wav	0.851165	Nuclei	2	0.851165
SHRIPP1_L1_Task2.wav	0.905415	DFauto (English)	0	0.953415
SHRIPP1_L1_Task2.wav	0.953415	DFauto (English)	1	1.049415
SHRIPP1_L1_Task2.wav	0.996018	Nuclei	3	0.996018
SHRIPP1_L1_Task2.wav	1.049415	DFauto (English)	0	1.113415
SHRIPP1_L1_Task2.wav	1.113415	DFauto (English)	1	1.241415
SHRIPP1_L1_Task2.wav	1.173120	Nuclei	4	1.173120
SHRIPP1_L1_Task2.wav	1.241415	DFauto (English)	0	1.273415
SHRIPP1_L1_Task2.wav	1.273415	DFauto (English)	1	1.345415
SHRIPP1_L1_Task2.wav	1.306440	Nuclei	5	1.306440
SHRIPP1_L1_Task2.wav	1.345415	DFauto (English)	0	1.417415
SHRIPP1_L1_Task2.wav	1.417415	DFauto (English)	0	1.641415
SHRIPP1_L1_Task2.wav	1.565544	Nuclei	6	1.565544
SHRIPP1_L1_Task2.wav	1.641415	DFauto (English)	0	1.689415
SHRIPP1_L1_Task2.wav	1.689415	DFauto (English)	0	1.777415
SHRIPP1_L1_Task2.wav	1.733767	Nuclei	7	1.733767
SHRIPP1_L1_Task2.wav	1.777415	DFauto (English)	0	1.807845
SHRIPP1_L1_Task2.wav	1.807845	DFauto (English)	1	1.881415
SHRIPP1_L1_Task2.wav	1.841686	Nuclei	8	1.841686
SHRIPP1_L1_Task2.wav	1.909415	Phrases	1	2.293415
SHRIPP1_L1_Task2.wav	2.293415	Phrases	0	2.533415
SHRIPP1_L1_Task2.wav	2.293415	DFauto (English)	0	2.533415
SHRIPP1_L1_Task2.wav	2.323277	Nuclei	9	2.323277
SHRIPP1_L1_Task2.wav	2.533415	Phrases	1	2.853415
SHRIPP1_L1_Task2.wav	2.853415	Phrases	0	16.133415
SHRIPP1_L1_Task2.wav	2.860000	FREQlemma	1913811	3.430000
SHRIPP1_L1_Task2.wav	2.860000	FREQcount	1068396	3.430000
SHRIPP1_L1_Task2.wav	2.860000	FreqDist	0.034482758620689655	3.430000
SHRIPP1_L1_Task2.wav	2.860000	SUBTLEXWF	24431.9717	3.430000
SHRIPP1_L1_Task2.wav	2.860000	Lg10CD	3.9067	3.430000
SHRIPP1_L1_Task2.wav	2.860000	Repetitions	0	3.430000
SHRIPP1_L1_Task2.wav	2.860000	CDlow	5578	3.430000
SHRIPP1_L1_Task2.wav	2.860000	FREQlow	780771	3.430000
SHRIPP1_L1_Task2.wav	2.860000	CDcount	8066	3.430000
SHRIPP1_L1_Task2.wav	2.860000	Lg10WF	6.0287	3.430000
SHRIPP1_L1_Task2.wav	2.860000	POStags	het_NN	3.430000
SHRIPP1_L1_Task2.wav	2.860000	SUBTLEXCD	99.9504	3.430000
SHRIPP1_L1_Task2.wav	2.897415	DFauto (English)	1	3.001415
SHRIPP1_L1_Task2.wav	2.948398	Nuclei	10	2.948398
SHRIPP1_L1_Task2.wav	3.001415	DFauto (English)	0	3.113415
SHRIPP1_L1_Task2.wav	3.113415	DFauto (English)	0	3.193415
SHRIPP1_L1_Task2.wav	3.144817	Nuclei	11	3.144817
SHRIPP1_L1_Task2.wav	3.193415	DFauto (English)	0	3.257415
SHRIPP1_L1_Task2.wav	3.257415	DFauto (English)	0	3.385415
SHRIPP1_L1_Task2.wav	3.304241	Nuclei	12	3.304241
