SoundfileID	tmin	tier	text	tmax
AMGOPP2_L1_Task1.wav	0	Phrases	1	2.439871
AMGOPP2_L1_Task1.wav	2.439871	Phrases	0	3.607871
AMGOPP2_L1_Task1.wav	2.450000	FreqDist	0.09401709401709402	2.650000
AMGOPP2_L1_Task1.wav	2.450000	Repetitions	0	2.650000
AMGOPP2_L1_Task1.wav	2.450000	POStags	uhm_JJ	2.650000
AMGOPP2_L1_Task1.wav	2.499871	DFauto__English	0	2.923871
AMGOPP2_L1_Task1.wav	2.650000	SUBTLEXCD	85.8116	3.040000
AMGOPP2_L1_Task1.wav	2.650000	SUBTLEXWF	1475.0709	3.040000
AMGOPP2_L1_Task1.wav	2.650000	POStags	nou_JJ	3.040000
AMGOPP2_L1_Task1.wav	2.650000	FREQcount	64504	3.040000
AMGOPP2_L1_Task1.wav	2.650000	CDcount	6925	3.040000
AMGOPP2_L1_Task1.wav	2.650000	Lg10CD	3.8405	3.040000
AMGOPP2_L1_Task1.wav	2.650000	FREQlow	43241	3.040000
AMGOPP2_L1_Task1.wav	2.650000	FREQlemma	64504	3.040000
AMGOPP2_L1_Task1.wav	2.650000	FreqDist	0.008547008547008548	3.040000
AMGOPP2_L1_Task1.wav	2.650000	CDlow	4505	3.040000
AMGOPP2_L1_Task1.wav	2.650000	Repetitions	0	3.040000
AMGOPP2_L1_Task1.wav	2.650000	Lg10WF	4.8096	3.040000
AMGOPP2_L1_Task1.wav	2.769659	Nuclei	1	2.769659
AMGOPP2_L1_Task1.wav	2.923871	DFauto__English	0	3.147871
AMGOPP2_L1_Task1.wav	3.040000	FREQcount	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	Lg10WF	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	Lg10CD	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	SUBTLEXCD	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	SUBTLEXWF	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	POStags	a-_JJ	3.110000
AMGOPP2_L1_Task1.wav	3.040000	CDcount	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	FREQlemma	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	FREQlow	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	Repetitions	0	3.110000
AMGOPP2_L1_Task1.wav	3.040000	CDlow	MISSING	3.110000
AMGOPP2_L1_Task1.wav	3.040000	FreqDist	0.008547008547008548	3.110000
AMGOPP2_L1_Task1.wav	3.110000	FreqDist	0.008547008547008548	3.560000
