SoundfileID	tmin	tier	text	tmax
DAHAPP1_L1_Task1.wav	0	DFauto__English	0	0.291039
DAHAPP1_L1_Task1.wav	0	FreqDist	0.008	0.700000
DAHAPP1_L1_Task1.wav	0	Repetitions	0	0.700000
DAHAPP1_L1_Task1.wav	0	Lg10WF	2.5682	0.700000
DAHAPP1_L1_Task1.wav	0	FREQcount	369	0.700000
DAHAPP1_L1_Task1.wav	0	Lg10CD	2.4216	0.700000
DAHAPP1_L1_Task1.wav	0	SUBTLWF	7.24	0.700000
DAHAPP1_L1_Task1.wav	0	POStags	honorable_JJ	0.700000
DAHAPP1_L1_Task1.wav	0	Cdlow	216	0.700000
DAHAPP1_L1_Task1.wav	0	SUBTLCD	3.14	0.700000
DAHAPP1_L1_Task1.wav	0	CDcount	263	0.700000
DAHAPP1_L1_Task1.wav	0	FREQlow	275	0.700000
DAHAPP1_L1_Task1.wav	0	Phrases	0	42.446077
DAHAPP1_L1_Task1.wav	0.291039	DFauto__English	0	0.499039
DAHAPP1_L1_Task1.wav	0.435097	Nuclei	1	0.435097
DAHAPP1_L1_Task1.wav	0.499039	DFauto__English	0	0.507818
DAHAPP1_L1_Task1.wav	0.507818	DFauto__English	0	0.707039
DAHAPP1_L1_Task1.wav	0.644095	Nuclei	2	0.644095
DAHAPP1_L1_Task1.wav	0.700000	FreqDist	0.008	1.030000
DAHAPP1_L1_Task1.wav	0.700000	Lg10CD	3.2101	1.030000
DAHAPP1_L1_Task1.wav	0.700000	SUBTLWF	79.67	1.030000
DAHAPP1_L1_Task1.wav	0.700000	Cdlow	1450	1.030000
DAHAPP1_L1_Task1.wav	0.700000	FREQlow	2790	1.030000
DAHAPP1_L1_Task1.wav	0.700000	CDcount	1621	1.030000
DAHAPP1_L1_Task1.wav	0.700000	SUBTLCD	19.33	1.030000
DAHAPP1_L1_Task1.wav	0.700000	FREQcount	4063	1.030000
DAHAPP1_L1_Task1.wav	0.700000	POStags	judge_NN	1.030000
DAHAPP1_L1_Task1.wav	0.700000	Repetitions	0	1.030000
DAHAPP1_L1_Task1.wav	0.700000	Lg10WF	3.609	1.030000
DAHAPP1_L1_Task1.wav	0.707039	DFauto__English	0	0.747039
DAHAPP1_L1_Task1.wav	0.747039	DFauto__English	0	0.804018
DAHAPP1_L1_Task1.wav	0.778662	Nuclei	3	0.778662
DAHAPP1_L1_Task1.wav	0.804018	DFauto__English	0	0.804118
DAHAPP1_L1_Task1.wav	0.804118	DFauto__English	0	0.947039
DAHAPP1_L1_Task1.wav	0.907305	Nuclei	4	0.907305
DAHAPP1_L1_Task1.wav	0.947039	DFauto__English	0	1.133852
DAHAPP1_L1_Task1.wav	1.030000	Repetitions	0	2.380000
DAHAPP1_L1_Task1.wav	1.030000	POStags	uhm_NN	2.380000
DAHAPP1_L1_Task1.wav	1.030000	FreqDist	0.016	2.380000
DAHAPP1_L1_Task1.wav	1.133852	DFauto__English	0	1.256210
DAHAPP1_L1_Task1.wav	1.179994	Nuclei	5	1.179994
DAHAPP1_L1_Task1.wav	1.256210	DFauto__English	0	1.347039
DAHAPP1_L1_Task1.wav	1.347039	DFauto__English	1	1.891039
DAHAPP1_L1_Task1.wav	1.564420	Nuclei	6	1.564420
DAHAPP1_L1_Task1.wav	1.891039	DFauto__English	0	1.947566
DAHAPP1_L1_Task1.wav	1.947566	DFauto__English	0	2.243039
DAHAPP1_L1_Task1.wav	2.066854	Nuclei	7	2.066854
DAHAPP1_L1_Task1.wav	2.243039	DFauto__English	0	2.244186
DAHAPP1_L1_Task1.wav	2.244186	DFauto__English	1	2.436868
DAHAPP1_L1_Task1.wav	2.300785	Nuclei	8	2.300785
DAHAPP1_L1_Task1.wav	2.380000	SUBTLWF	723.1	2.850000
DAHAPP1_L1_Task1.wav	2.380000	Lg10CD	3.8883	2.850000
DAHAPP1_L1_Task1.wav	2.380000	Cdlow	7591	2.850000
DAHAPP1_L1_Task1.wav	2.380000	FREQlow	33303	2.850000
