SoundfileID	tmin	tier	text	tmax
EKATPP2_L1_Task1.wav	0	Phrases	1	3.314500
EKATPP2_L1_Task1.wav	2.260000	FreqDist	0.03614457831325301	2.330000
EKATPP2_L1_Task1.wav	2.260000	Repetitions	0	2.330000
EKATPP2_L1_Task1.wav	2.260000	POStags	uhm_JJ	2.330000
EKATPP2_L1_Task1.wav	3.250000	CDlow	1828	3.980000
EKATPP2_L1_Task1.wav	3.250000	SUBTLEXCD	34.7831	3.980000
EKATPP2_L1_Task1.wav	3.250000	Lg10WF	3.6378	3.980000
EKATPP2_L1_Task1.wav	3.250000	FREQlemma	27837	3.980000
EKATPP2_L1_Task1.wav	3.250000	Repetitions	0	3.980000
EKATPP2_L1_Task1.wav	3.250000	FREQlow	2818	3.980000
EKATPP2_L1_Task1.wav	3.250000	Lg10CD	3.4484	3.980000
EKATPP2_L1_Task1.wav	3.250000	FREQcount	4342	3.980000
EKATPP2_L1_Task1.wav	3.250000	POStags	spreek_NN	3.980000
EKATPP2_L1_Task1.wav	3.250000	FreqDist	0.006024096385542169	3.980000
EKATPP2_L1_Task1.wav	3.250000	SUBTLEXWF	99.2924	3.980000
EKATPP2_L1_Task1.wav	3.250000	CDcount	2807	3.980000
EKATPP2_L1_Task1.wav	3.314500	Phrases	0	3.970500
EKATPP2_L1_Task1.wav	3.346500	DFauto__English	1	3.564920
EKATPP2_L1_Task1.wav	3.499870	Nuclei	1	3.499870
EKATPP2_L1_Task1.wav	3.564920	DFauto__English	0	3.565020
EKATPP2_L1_Task1.wav	3.565020	DFauto__English	0	3.922500
EKATPP2_L1_Task1.wav	3.755047	Nuclei	2	3.755047
EKATPP2_L1_Task1.wav	3.970500	Phrases	1	6.322500
EKATPP2_L1_Task1.wav	5.420000	FREQlemma	1063827	5.450000
EKATPP2_L1_Task1.wav	5.420000	Lg10CD	3.9069	5.450000
EKATPP2_L1_Task1.wav	5.420000	FREQcount	1061177	5.450000
EKATPP2_L1_Task1.wav	5.420000	POStags	de_FW	5.450000
EKATPP2_L1_Task1.wav	5.420000	FreqDist	0.018072289156626505	5.450000
EKATPP2_L1_Task1.wav	5.420000	Repetitions	0	5.450000
EKATPP2_L1_Task1.wav	5.420000	SUBTLEXWF	24266.8883	5.450000
EKATPP2_L1_Task1.wav	5.420000	CDcount	8070	5.450000
EKATPP2_L1_Task1.wav	5.420000	FREQlow	903872	5.450000
EKATPP2_L1_Task1.wav	5.420000	SUBTLEXCD	100.0000	5.450000
EKATPP2_L1_Task1.wav	5.420000	CDlow	6512	5.450000
EKATPP2_L1_Task1.wav	5.420000	Lg10WF	6.0258	5.450000
EKATPP2_L1_Task1.wav	6.260000	CDcount	394	7.360000
EKATPP2_L1_Task1.wav	6.260000	Repetitions	0	7.360000
EKATPP2_L1_Task1.wav	6.260000	SUBTLEXCD	4.8823	7.360000
EKATPP2_L1_Task1.wav	6.260000	CDlow	377	7.360000
EKATPP2_L1_Task1.wav	6.260000	POStags	politieagent_NN	7.360000
EKATPP2_L1_Task1.wav	6.260000	Lg10WF	2.7551	7.360000
EKATPP2_L1_Task1.wav	6.260000	FREQlow	543	7.360000
EKATPP2_L1_Task1.wav	6.260000	FreqDist	0.012048192771084338	7.360000
EKATPP2_L1_Task1.wav	6.260000	SUBTLEXWF	12.9890	7.360000
EKATPP2_L1_Task1.wav	6.260000	FREQlemma	719	7.360000
EKATPP2_L1_Task1.wav	6.260000	FREQcount	568	7.360000
EKATPP2_L1_Task1.wav	6.260000	Lg10CD	2.5966	7.360000
EKATPP2_L1_Task1.wav	6.322500	Phrases	0	7.730500
EKATPP2_L1_Task1.wav	6.330500	DFauto__English	0	6.434500
