SoundfileID	tmin	tier	text	tmax
EVGEPP2_L2_Task1.wav	0	DFauto__English	0	0.193633
EVGEPP2_L2_Task1.wav	0	Phrases	0	0.769633
EVGEPP2_L2_Task1.wav	0.193633	DFauto__English	0	0.385633
EVGEPP2_L2_Task1.wav	0.334493	Nuclei	1	0.334493
EVGEPP2_L2_Task1.wav	0.385633	DFauto__English	0	0.625633
EVGEPP2_L2_Task1.wav	0.625633	DFauto__English	0	0.665633
EVGEPP2_L2_Task1.wav	0.643863	Nuclei	2	0.643863
EVGEPP2_L2_Task1.wav	0.769633	Phrases	1	2.993633
EVGEPP2_L2_Task1.wav	1.160000	FREQcount	11395	1.220000
EVGEPP2_L2_Task1.wav	1.160000	Lg10CD	3.5377	1.220000
EVGEPP2_L2_Task1.wav	1.160000	SUBTLCD	41.11	1.220000
EVGEPP2_L2_Task1.wav	1.160000	FreqDist	0.0041841004184100415	1.220000
EVGEPP2_L2_Task1.wav	1.160000	Lg10WF	4.0568	1.220000
EVGEPP2_L2_Task1.wav	1.160000	CDcount	3448	1.220000
EVGEPP2_L2_Task1.wav	1.160000	SUBTLWF	223.43	1.220000
EVGEPP2_L2_Task1.wav	1.160000	Cdlow	2874	1.220000
EVGEPP2_L2_Task1.wav	1.160000	POStags	dear_NN	1.220000
EVGEPP2_L2_Task1.wav	1.160000	Repetitions	0	1.220000
EVGEPP2_L2_Task1.wav	1.160000	FREQlow	9363	1.220000
EVGEPP2_L2_Task1.wav	2.993633	Phrases	0	4.865633
EVGEPP2_L2_Task1.wav	3.009633	DFauto__English	0	3.161633
EVGEPP2_L2_Task1.wav	3.010000	FREQcount	369	3.500000
EVGEPP2_L2_Task1.wav	3.010000	CDcount	263	3.500000
EVGEPP2_L2_Task1.wav	3.010000	Lg10CD	2.4216	3.500000
EVGEPP2_L2_Task1.wav	3.010000	SUBTLWF	7.24	3.500000
EVGEPP2_L2_Task1.wav	3.010000	SUBTLCD	3.14	3.500000
EVGEPP2_L2_Task1.wav	3.010000	Cdlow	216	3.500000
EVGEPP2_L2_Task1.wav	3.010000	POStags	honorable_JJ	3.500000
EVGEPP2_L2_Task1.wav	3.010000	Repetitions	0	3.500000
EVGEPP2_L2_Task1.wav	3.010000	FREQlow	275	3.500000
EVGEPP2_L2_Task1.wav	3.010000	FreqDist	0.008368200836820083	3.500000
EVGEPP2_L2_Task1.wav	3.010000	Lg10WF	2.5682	3.500000
EVGEPP2_L2_Task1.wav	3.104807	Nuclei	3	3.104807
EVGEPP2_L2_Task1.wav	3.161633	DFauto__English	0	3.209633
EVGEPP2_L2_Task1.wav	3.209633	DFauto__English	0	3.361633
EVGEPP2_L2_Task1.wav	3.305475	Nuclei	4	3.305475
EVGEPP2_L2_Task1.wav	3.361633	DFauto__English	0	3.384087
EVGEPP2_L2_Task1.wav	3.384087	DFauto__English	0	3.521633
EVGEPP2_L2_Task1.wav	3.442332	Nuclei	5	3.442332
EVGEPP2_L2_Task1.wav	3.500000	Repetitions	0	4.010000
EVGEPP2_L2_Task1.wav	3.500000	FREQlow	2790	4.010000
EVGEPP2_L2_Task1.wav	3.500000	POStags	judge_NN	4.010000
EVGEPP2_L2_Task1.wav	3.500000	FreqDist	0.008368200836820083	4.010000
EVGEPP2_L2_Task1.wav	3.500000	Cdlow	1450	4.010000
EVGEPP2_L2_Task1.wav	3.500000	CDcount	1621	4.010000
EVGEPP2_L2_Task1.wav	3.500000	FREQcount	4063	4.010000
EVGEPP2_L2_Task1.wav	3.500000	SUBTLWF	79.67	4.010000
EVGEPP2_L2_Task1.wav	3.500000	Lg10CD	3.2101	4.010000
EVGEPP2_L2_Task1.wav	3.500000	SUBTLCD	19.33	4.010000
EVGEPP2_L2_Task1.wav	3.500000	Lg10WF	3.609	4.010000
EVGEPP2_L2_Task1.wav	3.521633	DFauto__English	0	3.601633
EVGEPP2_L2_Task1.wav	3.601633	DFauto__English	0	3.705633
EVGEPP2_L2_Task1.wav	3.644449	Nuclei	6	3.644449
EVGEPP2_L2_Task1.wav	3.705633	DFauto__English	0	4.281633
EVGEPP2_L2_Task1.wav	4.240000	Repetitions	0	4.850000
EVGEPP2_L2_Task1.wav	4.240000	POStags	uhm_IN	4.850000
EVGEPP2_L2_Task1.wav	4.240000	FreqDist	0.0041841004184100415	4.850000
EVGEPP2_L2_Task1.wav	4.281633	DFauto__English	1	4.697633
EVGEPP2_L2_Task1.wav	4.455777	Nuclei	7	4.455777
EVGEPP2_L2_Task1.wav	4.865633	Phrases	1	5.217633
EVGEPP2_L2_Task1.wav	5.217633	Phrases	0	10.369633
EVGEPP2_L2_Task1.wav	5.240000	FREQlow	220058	5.340000
EVGEPP2_L2_Task1.wav	5.240000	Lg10WF	5.7007	5.340000
EVGEPP2_L2_Task1.wav	5.240000	FreqDist	0.012552301255230125	5.340000
EVGEPP2_L2_Task1.wav	5.240000	CDcount	8365	5.340000
EVGEPP2_L2_Task1.wav	5.240000	FREQcount	501965	5.340000
EVGEPP2_L2_Task1.wav	5.240000	Lg10CD	3.9225	5.340000
EVGEPP2_L2_Task1.wav	5.240000	SUBTLWF	9842.45	5.340000
EVGEPP2_L2_Task1.wav	5.240000	SUBTLCD	99.73	5.340000
EVGEPP2_L2_Task1.wav	5.240000	Repetitions	0	5.340000
EVGEPP2_L2_Task1.wav	5.240000	Cdlow	8337	5.340000
