SoundfileID	tmin	tier	text	tmax
HRHHPP2_L1_Task1.wav	0	DFauto__English	0	0.058000
HRHHPP2_L1_Task1.wav	0	Lg10WF	2.9159	0.510000
HRHHPP2_L1_Task1.wav	0	Lg10CD	2.7853	0.510000
HRHHPP2_L1_Task1.wav	0	SUBTLEXCD	7.5465	0.510000
HRHHPP2_L1_Task1.wav	0	POStags	goedemiddag_NN	0.510000
HRHHPP2_L1_Task1.wav	0	Repetitions	0	0.510000
HRHHPP2_L1_Task1.wav	0	FreqDist	0.013333333333333334	0.510000
HRHHPP2_L1_Task1.wav	0	FREQcount	823	0.510000
HRHHPP2_L1_Task1.wav	0	CDcount	609	0.510000
HRHHPP2_L1_Task1.wav	0	SUBTLEXWF	18.8203	0.510000
HRHHPP2_L1_Task1.wav	0	FREQlow	23	0.510000
HRHHPP2_L1_Task1.wav	0	CDlow	18	0.510000
HRHHPP2_L1_Task1.wav	0	FREQlemma	823	0.510000
HRHHPP2_L1_Task1.wav	0	Phrases	0	21.012000
HRHHPP2_L1_Task1.wav	0.058000	DFauto__English	0	0.322000
HRHHPP2_L1_Task1.wav	0.187341	Nuclei	1	0.187341
HRHHPP2_L1_Task1.wav	0.322000	DFauto__English	0	0.346000
HRHHPP2_L1_Task1.wav	0.346000	DFauto__English	0	0.426000
HRHHPP2_L1_Task1.wav	0.386628	Nuclei	2	0.386628
HRHHPP2_L1_Task1.wav	0.426000	DFauto__English	0	0.506000
HRHHPP2_L1_Task1.wav	0.506000	DFauto__English	0	0.594000
HRHHPP2_L1_Task1.wav	0.510000	FREQlow	6553	1.010000
HRHHPP2_L1_Task1.wav	0.510000	SUBTLEXWF	186.5792	1.010000
HRHHPP2_L1_Task1.wav	0.510000	CDcount	2455	1.010000
HRHHPP2_L1_Task1.wav	0.510000	FREQcount	8159	1.010000
HRHHPP2_L1_Task1.wav	0.510000	CDlow	1976	1.010000
HRHHPP2_L1_Task1.wav	0.510000	FreqDist	0.013333333333333334	1.010000
HRHHPP2_L1_Task1.wav	0.510000	SUBTLEXCD	30.4213	1.010000
HRHHPP2_L1_Task1.wav	0.510000	POStags	agent_NN	1.010000
HRHHPP2_L1_Task1.wav	0.510000	FREQlemma	10899	1.010000
HRHHPP2_L1_Task1.wav	0.510000	Repetitions	0	1.010000
HRHHPP2_L1_Task1.wav	0.510000	Lg10CD	3.3902	1.010000
HRHHPP2_L1_Task1.wav	0.510000	Lg10WF	3.9117	1.010000
HRHHPP2_L1_Task1.wav	0.545134	Nuclei	3	0.545134
HRHHPP2_L1_Task1.wav	0.594000	DFauto__English	0	0.706000
HRHHPP2_L1_Task1.wav	0.706000	DFauto__English	0	0.922000
HRHHPP2_L1_Task1.wav	0.869364	Nuclei	4	0.869364
HRHHPP2_L1_Task1.wav	0.922000	DFauto__English	0	1.322000
HRHHPP2_L1_Task1.wav	1.290000	CDcount	8061	1.420000
HRHHPP2_L1_Task1.wav	1.290000	Lg10CD	3.9064	1.420000
HRHHPP2_L1_Task1.wav	1.290000	SUBTLEXCD	99.8885	1.420000
HRHHPP2_L1_Task1.wav	1.290000	POStags	wat_NN	1.420000
HRHHPP2_L1_Task1.wav	1.290000	Repetitions	0	1.420000
HRHHPP2_L1_Task1.wav	1.290000	Lg10WF	5.6818	1.420000
HRHHPP2_L1_Task1.wav	1.290000	FREQcount	480650	1.420000
HRHHPP2_L1_Task1.wav	1.290000	FreqDist	0.013333333333333334	1.420000
HRHHPP2_L1_Task1.wav	1.290000	FREQlemma	480680	1.420000
HRHHPP2_L1_Task1.wav	1.290000	SUBTLEXWF	10991.4556	1.420000
HRHHPP2_L1_Task1.wav	1.290000	FREQlow	220264	1.420000
HRHHPP2_L1_Task1.wav	1.290000	CDlow	3577	1.420000
HRHHPP2_L1_Task1.wav	1.322000	DFauto__English	0	1.394000
HRHHPP2_L1_Task1.wav	1.357120	Nuclei	5	1.357120
HRHHPP2_L1_Task1.wav	1.394000	DFauto__English	0	1.418000
HRHHPP2_L1_Task1.wav	1.418000	DFauto__English	0	1.474000
HRHHPP2_L1_Task1.wav	1.420000	POStags	ik_NN	1.550000
HRHHPP2_L1_Task1.wav	1.420000	CDlow	3125	1.550000
HRHHPP2_L1_Task1.wav	1.420000	FREQlow	778704	1.550000
HRHHPP2_L1_Task1.wav	1.420000	Lg10CD	3.9061	1.550000
HRHHPP2_L1_Task1.wav	1.420000	FREQlemma	1744527	1.550000
HRHHPP2_L1_Task1.wav	1.420000	FREQcount	1744062	1.550000
HRHHPP2_L1_Task1.wav	1.420000	Lg10WF	6.2416	1.550000
HRHHPP2_L1_Task1.wav	1.420000	FreqDist	0.013333333333333334	1.550000
HRHHPP2_L1_Task1.wav	1.420000	SUBTLEXWF	39883.0334	1.550000
HRHHPP2_L1_Task1.wav	1.420000	Repetitions	0	1.550000
HRHHPP2_L1_Task1.wav	1.420000	SUBTLEXCD	99.8017	1.550000
HRHHPP2_L1_Task1.wav	1.420000	CDcount	8054	1.550000
HRHHPP2_L1_Task1.wav	1.448304	Nuclei	6	1.448304
HRHHPP2_L1_Task1.wav	1.474000	DFauto__English	0	1.546000
HRHHPP2_L1_Task1.wav	1.546000	DFauto__English	0	1.618000
HRHHPP2_L1_Task1.wav	1.550000	Lg10WF	5.4978	1.680000
HRHHPP2_L1_Task1.wav	1.550000	CDcount	8037	1.680000
HRHHPP2_L1_Task1.wav	1.550000	FREQcount	314634	1.680000
HRHHPP2_L1_Task1.wav	1.550000	Repetitions	0	1.680000
HRHHPP2_L1_Task1.wav	1.550000	SUBTLEXCD	99.5911	1.680000
HRHHPP2_L1_Task1.wav	1.550000	POStags	heb_NN	1.680000
HRHHPP2_L1_Task1.wav	1.550000	CDlow	6705	1.680000
HRHHPP2_L1_Task1.wav	1.550000	FREQlow	266786	1.680000
HRHHPP2_L1_Task1.wav	1.550000	FreqDist	0.013333333333333334	1.680000
HRHHPP2_L1_Task1.wav	1.550000	Lg10CD	3.9051	1.680000
HRHHPP2_L1_Task1.wav	1.550000	FREQlemma	845553	1.680000
HRHHPP2_L1_Task1.wav	1.550000	SUBTLEXWF	7195.0185	1.680000
HRHHPP2_L1_Task1.wav	1.582068	Nuclei	7	1.582068
HRHHPP2_L1_Task1.wav	1.618000	DFauto__English	0	1.746000
HRHHPP2_L1_Task1.wav	1.680000	FREQlow	29652	2.070000
HRHHPP2_L1_Task1.wav	1.680000	CDlow	7193	2.070000
HRHHPP2_L1_Task1.wav	1.680000	SUBTLEXCD	91.2763	2.070000
HRHHPP2_L1_Task1.wav	1.680000	Repetitions	0	2.070000
HRHHPP2_L1_Task1.wav	1.680000	CDcount	7366	2.070000
HRHHPP2_L1_Task1.wav	1.680000	FREQlemma	30256	2.070000
HRHHPP2_L1_Task1.wav	1.680000	FreqDist	0.013333333333333334	2.070000
HRHHPP2_L1_Task1.wav	1.680000	FREQcount	30243	2.070000
HRHHPP2_L1_Task1.wav	1.680000	Lg10WF	4.4806	2.070000
HRHHPP2_L1_Task1.wav	1.680000	POStags	gezien_NN	2.070000
HRHHPP2_L1_Task1.wav	1.680000	SUBTLEXWF	691.5939	2.070000
HRHHPP2_L1_Task1.wav	1.680000	Lg10CD	3.8673	2.070000
HRHHPP2_L1_Task1.wav	1.746000	DFauto__English	0	1.802000
HRHHPP2_L1_Task1.wav	1.773102	Nuclei	8	1.773102
HRHHPP2_L1_Task1.wav	1.802000	DFauto__English	0	1.930000
HRHHPP2_L1_Task1.wav	1.930000	DFauto__English	0	2.004701
HRHHPP2_L1_Task1.wav	1.954705	Nuclei	9	1.954705
HRHHPP2_L1_Task1.wav	2.004701	DFauto__English	0	2.004801
HRHHPP2_L1_Task1.wav	2.004801	DFauto__English	0	2.154000
HRHHPP2_L1_Task1.wav	2.070000	CDlow	7636	2.160000
HRHHPP2_L1_Task1.wav	2.070000	FREQlow	891894	2.160000
HRHHPP2_L1_Task1.wav	2.070000	Lg10WF	5.9766	2.160000
HRHHPP2_L1_Task1.wav	2.070000	Repetitions	0	2.160000
HRHHPP2_L1_Task1.wav	2.070000	Lg10CD	3.9068	2.160000
HRHHPP2_L1_Task1.wav	2.070000	FREQcount	947568	2.160000
HRHHPP2_L1_Task1.wav	2.070000	POStags	is_VBZ	2.160000
HRHHPP2_L1_Task1.wav	2.070000	FreqDist	0.013333333333333334	2.160000
HRHHPP2_L1_Task1.wav	2.070000	SUBTLEXWF	21668.8892	2.160000
HRHHPP2_L1_Task1.wav	2.070000	FREQlemma	1891610	2.160000
HRHHPP2_L1_Task1.wav	2.070000	CDcount	8067	2.160000
HRHHPP2_L1_Task1.wav	2.070000	SUBTLEXCD	99.9628	2.160000
HRHHPP2_L1_Task1.wav	2.096446	Nuclei	10	2.096446
HRHHPP2_L1_Task1.wav	2.154000	DFauto__English	0	2.218000
HRHHPP2_L1_Task1.wav	2.160000	Lg10WF	5.9847	2.650000
HRHHPP2_L1_Task1.wav	2.160000	SUBTLEXCD	99.9133	2.650000
HRHHPP2_L1_Task1.wav	2.160000	POStags	dat_JJ	2.650000
HRHHPP2_L1_Task1.wav	2.160000	FREQlemma	965431	2.650000
HRHHPP2_L1_Task1.wav	2.160000	Repetitions	0	2.650000
HRHHPP2_L1_Task1.wav	2.160000	FREQlow	715570	2.650000
HRHHPP2_L1_Task1.wav	2.160000	FREQcount	965424	2.650000
HRHHPP2_L1_Task1.wav	2.160000	SUBTLEXWF	22077.2184	2.650000
HRHHPP2_L1_Task1.wav	2.160000	FreqDist	0.013333333333333334	2.650000
HRHHPP2_L1_Task1.wav	2.160000	CDcount	8063	2.650000
HRHHPP2_L1_Task1.wav	2.160000	CDlow	6107	2.650000
HRHHPP2_L1_Task1.wav	2.160000	Lg10CD	3.9066	2.650000
HRHHPP2_L1_Task1.wav	2.218000	DFauto__English	0	2.306000
HRHHPP2_L1_Task1.wav	2.250566	Nuclei	11	2.250566
HRHHPP2_L1_Task1.wav	2.306000	DFauto__English	0	2.394000
HRHHPP2_L1_Task1.wav	2.394000	DFauto__English	1	2.858000
