SoundfileID	tmin	tier	text	tmax
JAWOPP1_L1_Task2.wav	0	Phrases	1	0.962667
JAWOPP1_L1_Task2.wav	0.930000	CDcount	6	1.140000
JAWOPP1_L1_Task2.wav	0.930000	Lg10CD	0.8451	1.140000
JAWOPP1_L1_Task2.wav	0.930000	SUBTLEXCD	0.0743	1.140000
JAWOPP1_L1_Task2.wav	0.930000	Lg10WF	0.8451	1.140000
JAWOPP1_L1_Task2.wav	0.930000	SUBTLEXWF	0.1372	1.140000
JAWOPP1_L1_Task2.wav	0.930000	FREQlemma	9	1.140000
JAWOPP1_L1_Task2.wav	0.930000	CDlow	1	1.140000
JAWOPP1_L1_Task2.wav	0.930000	FREQlow	1	1.140000
JAWOPP1_L1_Task2.wav	0.930000	FREQcount	6	1.140000
JAWOPP1_L1_Task2.wav	0.930000	FreqDist	0.004901960784313725	1.140000
JAWOPP1_L1_Task2.wav	0.930000	Repetitions	0	1.140000
JAWOPP1_L1_Task2.wav	0.930000	POStags	thank_NN	1.140000
JAWOPP1_L1_Task2.wav	0.962667	Phrases	0	5.682667
JAWOPP1_L1_Task2.wav	0.970667	DFauto__English	0	1.042667
JAWOPP1_L1_Task2.wav	1.002000	Nuclei	1	1.002000
JAWOPP1_L1_Task2.wav	1.042667	DFauto__English	0	1.154667
JAWOPP1_L1_Task2.wav	1.140000	SUBTLEXWF	10.3134	1.300000
JAWOPP1_L1_Task2.wav	1.140000	FREQlemma	451	1.300000
JAWOPP1_L1_Task2.wav	1.140000	Lg10WF	2.6551	1.300000
JAWOPP1_L1_Task2.wav	1.140000	SUBTLEXCD	3.2218	1.300000
JAWOPP1_L1_Task2.wav	1.140000	Lg10CD	2.4166	1.300000
JAWOPP1_L1_Task2.wav	1.140000	CDlow	166	1.300000
JAWOPP1_L1_Task2.wav	1.140000	FREQlow	304	1.300000
JAWOPP1_L1_Task2.wav	1.140000	POStags	you_PRP	1.300000
JAWOPP1_L1_Task2.wav	1.140000	CDcount	260	1.300000
JAWOPP1_L1_Task2.wav	1.140000	FREQcount	451	1.300000
JAWOPP1_L1_Task2.wav	1.140000	FreqDist	0.004901960784313725	1.300000
JAWOPP1_L1_Task2.wav	1.140000	Repetitions	0	1.300000
JAWOPP1_L1_Task2.wav	1.154667	DFauto__English	0	1.282667
JAWOPP1_L1_Task2.wav	1.191435	Nuclei	2	1.191435
