SoundfileID	tmin	tier	text	tmax
SHRIPP1_L1_Task1.wav	0	DFauto__English	0	0.121977
SHRIPP1_L1_Task1.wav	0	Phrases	0	0.737977
SHRIPP1_L1_Task1.wav	0.120000	FreqDist	0.010309278350515464	0.170000
SHRIPP1_L1_Task1.wav	0.120000	Repetitions	0	0.170000
SHRIPP1_L1_Task1.wav	0.120000	POStags	uh_JJ	0.170000
SHRIPP1_L1_Task1.wav	0.121977	DFauto__English	0	0.209977
SHRIPP1_L1_Task1.wav	0.161520	Nuclei	1	0.161520
SHRIPP1_L1_Task1.wav	0.209977	DFauto__English	0	0.305977
SHRIPP1_L1_Task1.wav	0.260000	CDcount	8061	0.370000
SHRIPP1_L1_Task1.wav	0.260000	FREQcount	480650	0.370000
SHRIPP1_L1_Task1.wav	0.260000	FREQlow	220264	0.370000
SHRIPP1_L1_Task1.wav	0.260000	FreqDist	0.010309278350515464	0.370000
SHRIPP1_L1_Task1.wav	0.260000	Lg10CD	3.9064	0.370000
SHRIPP1_L1_Task1.wav	0.260000	SUBTLEXCD	99.8885	0.370000
SHRIPP1_L1_Task1.wav	0.260000	Repetitions	0	0.370000
SHRIPP1_L1_Task1.wav	0.260000	CDlow	3577	0.370000
SHRIPP1_L1_Task1.wav	0.260000	Lg10WF	5.6818	0.370000
SHRIPP1_L1_Task1.wav	0.260000	POStags	wat_NN	0.370000
SHRIPP1_L1_Task1.wav	0.260000	FREQlemma	480680	0.370000
SHRIPP1_L1_Task1.wav	0.260000	SUBTLEXWF	10991.4556	0.370000
SHRIPP1_L1_Task1.wav	0.305977	DFauto__English	0	0.361977
SHRIPP1_L1_Task1.wav	0.331511	Nuclei	2	0.331511
SHRIPP1_L1_Task1.wav	0.370000	FREQlow	891894	0.490000
SHRIPP1_L1_Task1.wav	0.370000	SUBTLEXCD	99.9628	0.490000
SHRIPP1_L1_Task1.wav	0.370000	CDlow	7636	0.490000
SHRIPP1_L1_Task1.wav	0.370000	Repetitions	0	0.490000
SHRIPP1_L1_Task1.wav	0.370000	Lg10WF	5.9766	0.490000
SHRIPP1_L1_Task1.wav	0.370000	FreqDist	0.010309278350515464	0.490000
SHRIPP1_L1_Task1.wav	0.370000	POStags	is_VBZ	0.490000
SHRIPP1_L1_Task1.wav	0.370000	FREQlemma	1891610	0.490000
SHRIPP1_L1_Task1.wav	0.370000	FREQcount	947568	0.490000
SHRIPP1_L1_Task1.wav	0.370000	Lg10CD	3.9068	0.490000
SHRIPP1_L1_Task1.wav	0.370000	CDcount	8067	0.490000
SHRIPP1_L1_Task1.wav	0.370000	SUBTLEXWF	21668.8892	0.490000
SHRIPP1_L1_Task1.wav	0.737977	Phrases	1	1.105977
SHRIPP1_L1_Task1.wav	1.105977	Phrases	0	6.001977
SHRIPP1_L1_Task1.wav	1.110000	POStags	er_JJ	1.470000
SHRIPP1_L1_Task1.wav	1.110000	Lg10WF	5.5530	1.470000
SHRIPP1_L1_Task1.wav	1.110000	SUBTLEXWF	8170.4945	1.470000
SHRIPP1_L1_Task1.wav	1.110000	FREQcount	357291	1.470000
SHRIPP1_L1_Task1.wav	1.110000	FREQlow	292220	1.470000
SHRIPP1_L1_Task1.wav	1.110000	FREQlemma	357295	1.470000
SHRIPP1_L1_Task1.wav	1.110000	CDcount	8061	1.470000
SHRIPP1_L1_Task1.wav	1.110000	FreqDist	0.010309278350515464	1.470000
SHRIPP1_L1_Task1.wav	1.110000	Repetitions	0	1.470000
SHRIPP1_L1_Task1.wav	1.110000	CDlow	6441	1.470000
SHRIPP1_L1_Task1.wav	1.110000	Lg10CD	3.9064	1.470000
SHRIPP1_L1_Task1.wav	1.110000	SUBTLEXCD	99.8885	1.470000
SHRIPP1_L1_Task1.wav	1.129977	DFauto__English	1	1.441977
SHRIPP1_L1_Task1.wav	1.175982	Nuclei	3	1.175982
SHRIPP1_L1_Task1.wav	1.441977	DFauto__English	0	1.657977
SHRIPP1_L1_Task1.wav	1.657977	DFauto__English	1	1.812691
SHRIPP1_L1_Task1.wav	1.761648	Nuclei	4	1.761648
SHRIPP1_L1_Task1.wav	1.812691	DFauto__English	0	1.849977
SHRIPP1_L1_Task1.wav	1.849977	DFauto__English	0	1.913977
SHRIPP1_L1_Task1.wav	1.850000	Lg10CD	3.8042	2.810000
SHRIPP1_L1_Task1.wav	1.850000	SUBTLEXWF	437.6687	2.810000
SHRIPP1_L1_Task1.wav	1.850000	CDcount	6370	2.810000
SHRIPP1_L1_Task1.wav	1.850000	FREQlemma	46529	2.810000
SHRIPP1_L1_Task1.wav	1.850000	FREQcount	19139	2.810000
SHRIPP1_L1_Task1.wav	1.850000	FreqDist	0.010309278350515464	2.810000
SHRIPP1_L1_Task1.wav	1.850000	POStags	gebeurd_JJ	2.810000
SHRIPP1_L1_Task1.wav	1.850000	Lg10WF	4.2819	2.810000
SHRIPP1_L1_Task1.wav	1.850000	Repetitions	0	2.810000
SHRIPP1_L1_Task1.wav	1.850000	CDlow	6356	2.810000
SHRIPP1_L1_Task1.wav	1.850000	SUBTLEXCD	78.9343	2.810000
SHRIPP1_L1_Task1.wav	1.850000	FREQlow	19100	2.810000
SHRIPP1_L1_Task1.wav	1.881333	Nuclei	5	1.881333
SHRIPP1_L1_Task1.wav	1.913977	DFauto__English	0	1.940999
SHRIPP1_L1_Task1.wav	1.940999	DFauto__English	0	2.064091
SHRIPP1_L1_Task1.wav	1.987481	Nuclei	6	1.987481
SHRIPP1_L1_Task1.wav	2.064091	DFauto__English	0	2.065977
SHRIPP1_L1_Task1.wav	2.065977	DFauto__English	0	2.289977
SHRIPP1_L1_Task1.wav	2.174885	Nuclei	7	2.174885
SHRIPP1_L1_Task1.wav	2.289977	DFauto__English	0	2.329977
SHRIPP1_L1_Task1.wav	2.329977	DFauto__English	0	2.489977
SHRIPP1_L1_Task1.wav	2.402501	Nuclei	8	2.402501
SHRIPP1_L1_Task1.wav	2.489977	DFauto__English	0	2.544119
SHRIPP1_L1_Task1.wav	2.544119	DFauto__English	1	2.705977
SHRIPP1_L1_Task1.wav	2.626131	Nuclei	9	2.626131
SHRIPP1_L1_Task1.wav	2.705977	DFauto__English	0	3.017977
SHRIPP1_L1_Task1.wav	2.960000	Lg10WF	5.1758	3.510000
SHRIPP1_L1_Task1.wav	2.960000	Lg10CD	3.9009	3.510000
SHRIPP1_L1_Task1.wav	2.960000	FREQlemma	149904	3.510000
SHRIPP1_L1_Task1.wav	2.960000	CDcount	7959	3.510000
SHRIPP1_L1_Task1.wav	2.960000	FreqDist	0.020618556701030927	3.510000
SHRIPP1_L1_Task1.wav	2.960000	Repetitions	0	3.510000
SHRIPP1_L1_Task1.wav	2.960000	FREQcount	149900	3.510000
SHRIPP1_L1_Task1.wav	2.960000	SUBTLEXCD	98.6245	3.510000
SHRIPP1_L1_Task1.wav	2.960000	SUBTLEXWF	3427.8980	3.510000
SHRIPP1_L1_Task1.wav	2.960000	FREQlow	19173	3.510000
SHRIPP1_L1_Task1.wav	2.960000	POStags	ja_NN	3.510000
SHRIPP1_L1_Task1.wav	2.960000	CDlow	1112	3.510000
SHRIPP1_L1_Task1.wav	3.017977	DFauto__English	1	3.193977
SHRIPP1_L1_Task1.wav	3.159135	Nuclei	10	3.159135
SHRIPP1_L1_Task1.wav	3.193977	DFauto__English	0	3.345977
SHRIPP1_L1_Task1.wav	3.345977	DFauto__English	0	3.521977
SHRIPP1_L1_Task1.wav	3.424529	Nuclei	11	3.424529
SHRIPP1_L1_Task1.wav	3.510000	Lg10WF	6.2416	3.650000
SHRIPP1_L1_Task1.wav	3.510000	SUBTLEXCD	99.8017	3.650000
SHRIPP1_L1_Task1.wav	3.510000	POStags	ik_NN	3.650000
SHRIPP1_L1_Task1.wav	3.510000	FreqDist	0.030927835051546393	3.650000
SHRIPP1_L1_Task1.wav	3.510000	FREQcount	1744062	3.650000
SHRIPP1_L1_Task1.wav	3.510000	FREQlemma	1744527	3.650000
SHRIPP1_L1_Task1.wav	3.510000	SUBTLEXWF	39883.0334	3.650000
SHRIPP1_L1_Task1.wav	3.510000	CDcount	8054	3.650000
SHRIPP1_L1_Task1.wav	3.510000	FREQlow	778704	3.650000
SHRIPP1_L1_Task1.wav	3.510000	Repetitions	0	3.650000
SHRIPP1_L1_Task1.wav	3.510000	CDlow	3125	3.650000
SHRIPP1_L1_Task1.wav	3.510000	Lg10CD	3.9061	3.650000
SHRIPP1_L1_Task1.wav	3.521977	DFauto__English	0	3.657977
SHRIPP1_L1_Task1.wav	3.650000	SUBTLEXCD	26.7782	3.820000
SHRIPP1_L1_Task1.wav	3.650000	FREQcount	3121	3.820000
SHRIPP1_L1_Task1.wav	3.650000	FREQlow	3042	3.820000
SHRIPP1_L1_Task1.wav	3.650000	FREQlemma	24622	3.820000
SHRIPP1_L1_Task1.wav	3.650000	SUBTLEXWF	71.3707	3.820000
SHRIPP1_L1_Task1.wav	3.650000	FreqDist	0.010309278350515464	3.820000
SHRIPP1_L1_Task1.wav	3.650000	POStags	liep_NN	3.820000
SHRIPP1_L1_Task1.wav	3.650000	Lg10WF	3.4944	3.820000
SHRIPP1_L1_Task1.wav	3.650000	CDcount	2161	3.820000
SHRIPP1_L1_Task1.wav	3.650000	Repetitions	0	3.820000
SHRIPP1_L1_Task1.wav	3.650000	Lg10CD	3.3349	3.820000
SHRIPP1_L1_Task1.wav	3.650000	CDlow	2110	3.820000
SHRIPP1_L1_Task1.wav	3.657977	DFauto__English	0	3.769977
SHRIPP1_L1_Task1.wav	3.717208	Nuclei	12	3.717208
SHRIPP1_L1_Task1.wav	3.769977	DFauto__English	0	3.809977
SHRIPP1_L1_Task1.wav	3.809977	DFauto__English	0	3.929977
SHRIPP1_L1_Task1.wav	3.820000	FREQlow	109937	4.020000
SHRIPP1_L1_Task1.wav	3.820000	SUBTLEXCD	99.3432	4.020000
SHRIPP1_L1_Task1.wav	3.820000	FreqDist	0.010309278350515464	4.020000
SHRIPP1_L1_Task1.wav	3.820000	CDcount	8017	4.020000
SHRIPP1_L1_Task1.wav	3.820000	Repetitions	0	4.020000
SHRIPP1_L1_Task1.wav	3.820000	Lg10CD	3.9041	4.020000
SHRIPP1_L1_Task1.wav	3.820000	CDlow	7428	4.020000
SHRIPP1_L1_Task1.wav	3.820000	FREQlemma	118166	4.020000
SHRIPP1_L1_Task1.wav	3.820000	POStags	over_IN	4.020000
SHRIPP1_L1_Task1.wav	3.820000	SUBTLEXWF	2702.2081	4.020000
SHRIPP1_L1_Task1.wav	3.820000	Lg10WF	5.0725	4.020000
SHRIPP1_L1_Task1.wav	3.820000	FREQcount	118166	4.020000
